smurf_band,smurf_chan,smurf_freq,vna_freq,design_freq,index,mux_band,pad,mux_posn,biasline,pol,freq,det_row,det_col,rhomb,opt,det_x,det_y
5.0,121.0,4510.628,4510.628,4458.551428571429,20.0,3.0,13.0,26.0,7.0,A,90,6.0,8.0,C,1.0,-12.129978000000001,-39.369476999999996
5.0,313.0,4513.148,4513.148,4462.29285714286,22.0,3.0,21.0,26.0,7.0,A,90,6.0,4.0,C,1.0,-22.729978,-21.009738999999996
5.0,377.0,4514.844,4514.844,4466.03428571429,24.0,3.0,29.0,26.0,7.0,A,90,6.0,0.0,C,1.0,-33.329978,-2.65
5.0,441.0,4516.956,4516.956,4467.905,25.0,3.0,33.0,26.0,7.0,B,90,5.0,11.0,C,1.0,1.1200219999999999,-53.139281
5.0,5.0,4519.756,4519.756,4469.77571428571,26.0,3.0,37.0,26.0,7.0,B,90,5.0,9.0,C,1.0,-4.179978,-43.959412
5.0,69.0,4520.926,4520.926,4471.646428571429,27.0,3.0,41.0,26.0,7.0,B,90,5.0,7.0,C,1.0,-9.479978000000001,-34.779542
5.0,133.0,4521.716,4521.716,4473.517142857139,28.0,3.0,45.0,26.0,7.0,B,90,5.0,5.0,C,1.0,-14.779978000000002,-25.599673
5.0,261.0,4525.142,4525.142,4475.38785714286,29.0,3.0,49.0,26.0,7.0,B,90,5.0,3.0,C,1.0,-20.079978,-16.419804
5.0,37.0,4527.204,4527.204,4477.258571428571,30.0,3.0,53.0,26.0,7.0,B,90,5.0,1.0,C,1.0,-25.379977999999998,-7.239935
5.0,101.0,4529.766,4529.766,4479.12928571429,31.0,3.0,57.0,26.0,7.0,A,90,4.0,11.0,C,1.0,6.420022,-53.139281
5.0,293.0,4533.986,4533.986,4481.0,32.0,3.0,61.0,26.0,7.0,A,90,4.0,9.0,C,1.0,1.1200219999999999,-43.959412
5.0,301.0,4573.216,4573.216,4519.0,33.0,3.0,0.0,26.0,10.0,A,90,7.0,2.0,C,1.0,-33.329978,-11.829868999999999
5.0,365.0,4574.25,4574.25,4520.87071428571,34.0,3.0,4.0,26.0,10.0,A,90,7.0,0.0,C,1.0,-38.629977999999994,-2.65
5.0,29.0,4575.618,4575.618,4522.741428571429,35.0,3.0,8.0,26.0,10.0,B,90,6.0,11.0,C,1.0,-4.179978,-53.139281
5.0,93.0,4577.758,4577.758,4524.61214285714,36.0,3.0,12.0,26.0,10.0,B,90,6.0,9.0,C,1.0,-9.479978000000001,-43.959412
5.0,157.0,4579.012,4579.012,4526.482857142861,37.0,3.0,16.0,26.0,10.0,B,90,6.0,7.0,C,1.0,-14.779978000000002,-34.779542
5.0,285.0,4579.674,4579.674,4528.353571428571,38.0,3.0,20.0,26.0,10.0,B,90,6.0,5.0,C,1.0,-20.079978,-25.599673
5.0,349.0,4580.326,4580.326,4530.22428571429,39.0,3.0,24.0,26.0,10.0,B,90,6.0,3.0,C,1.0,-25.379977999999998,-16.419804
5.0,413.0,4581.998,4581.998,4532.095,40.0,3.0,28.0,26.0,10.0,B,90,6.0,1.0,C,1.0,-30.679978,-7.239935
5.0,477.0,4584.304,4584.304,4533.96571428571,41.0,3.0,32.0,26.0,10.0,A,90,5.0,11.0,C,1.0,1.1200219999999999,-53.139281
5.0,61.0,4586.67,4586.67,4535.83642857143,42.0,3.0,36.0,26.0,10.0,A,90,5.0,9.0,C,1.0,-4.179978,-43.959412
5.0,125.0,4587.57,4587.57,4537.70714285714,43.0,3.0,40.0,26.0,10.0,A,90,5.0,7.0,C,1.0,-9.479978000000001,-34.779542
5.0,189.0,4589.098,4589.098,4539.57785714286,44.0,3.0,44.0,26.0,10.0,A,90,5.0,5.0,C,1.0,-14.779978000000002,-25.599673
5.0,317.0,4591.212,4591.212,4541.448571428571,45.0,3.0,48.0,26.0,10.0,A,90,5.0,3.0,C,1.0,-20.079978,-16.419804
5.0,381.0,4593.404,4593.404,4543.319285714289,46.0,3.0,52.0,26.0,10.0,A,90,5.0,1.0,C,1.0,-25.379977999999998,-7.239935
5.0,3.0,4595.704,4595.704,4545.19,47.0,3.0,56.0,26.0,10.0,D,D,5.0,0.0,C,0.0,17.39,-30.12036354
5.0,259.0,4599.608,4599.608,4547.060714285711,48.0,3.0,60.0,26.0,10.0,B,90,4.0,10.0,C,1.0,3.770022,-48.549346
5.0,99.0,4606.062,4606.062,4552.653571428571,50.0,3.0,2.0,26.0,10.0,A,90,7.0,1.0,C,1.0,-35.979977999999996,-7.239935
5.0,291.0,4609.026,4609.026,4556.395,52.0,3.0,10.0,26.0,10.0,B,90,6.0,10.0,C,1.0,-6.829978,-48.549346
5.0,355.0,4611.132,4611.132,4558.265714285711,53.0,3.0,14.0,26.0,10.0,B,90,6.0,8.0,C,1.0,-12.129978000000001,-39.369476999999996
5.0,419.0,4612.554,4612.554,4560.136428571429,54.0,3.0,18.0,26.0,10.0,B,90,6.0,6.0,C,1.0,-17.429978,-30.189607999999996
5.0,19.0,4613.46,4613.46,4563.87785714286,56.0,3.0,26.0,26.0,10.0,B,90,6.0,2.0,C,1.0,-28.029978,-11.829868999999999
5.0,83.0,4614.896,4614.896,4565.74857142857,57.0,3.0,30.0,26.0,10.0,B,90,6.0,0.0,C,1.0,-33.329978,-2.65
5.0,147.0,4617.816,4617.816,4567.61928571429,58.0,3.0,34.0,26.0,10.0,A,90,5.0,10.0,C,1.0,-1.5299779999999998,-48.549346
5.0,275.0,4619.534,4619.534,4569.49,59.0,3.0,38.0,26.0,10.0,A,90,5.0,8.0,C,1.0,-6.829978,-39.369476999999996
5.0,339.0,4621.118,4621.118,4571.36071428571,60.0,3.0,42.0,26.0,10.0,A,90,5.0,6.0,C,1.0,-12.129978000000001,-30.189607999999996
5.0,403.0,4622.648,4622.648,4573.231428571429,61.0,3.0,46.0,26.0,10.0,A,90,5.0,4.0,C,1.0,-17.429978,-21.009738999999996
5.0,51.0,4624.888,4624.888,4575.102142857139,62.0,3.0,50.0,26.0,10.0,A,90,5.0,2.0,C,1.0,-22.729978,-11.829868999999999
5.0,115.0,4626.984,4626.984,4576.97285714286,63.0,3.0,54.0,26.0,10.0,A,90,5.0,0.0,C,1.0,-28.029978,-2.65
5.0,307.0,4630.082,4630.082,4578.843571428571,64.0,3.0,58.0,26.0,10.0,B,90,4.0,11.0,C,1.0,6.420022,-53.139281
