Detector,x,y,z_avg,z_150GHz,z_90GHz
356,-28.029978,-11.829869,1.8715,1.812,1.931
357,-30.679978,-7.239935,1.8715,1.812,1.931
358,-33.329978,-2.65,1.8715,1.812,1.931
359,1.120022,-53.139281,1.8715,1.812,1.931
360,-1.529978,-48.549346,1.8715,1.812,1.931
361,-4.179978,-43.959412,1.8715,1.812,1.931
362,-6.829978,-39.369477,1.8715,1.812,1.931
363,-9.479978,-34.779542,1.8715,1.812,1.931
364,-12.129978,-30.189608,1.8715,1.812,1.931
365,-14.779978,-25.599673,1.8715,1.812,1.931
366,-17.429978,-21.009739,1.8715,1.812,1.931
367,-20.079978,-16.419804,1.8715,1.812,1.931
368,-22.729978,-11.829869,1.8715,1.812,1.931
369,-25.379978,-7.239935,1.8715,1.812,1.931
370,-28.029978,-2.65,1.8715,1.812,1.931
371,6.420022,-53.139281,1.8715,1.812,1.931
372,3.770022,-48.549346,1.8715,1.812,1.931
373,1.120022,-43.959412,1.8715,1.812,1.931
374,-1.529978,-39.369477,1.8715,1.812,1.931
375,-4.179978,-34.779542,1.8715,1.812,1.931
376,-6.829978,-30.189608,1.8715,1.812,1.931
377,-9.479978,-25.599673,1.8715,1.812,1.931
378,-12.129978,-21.009739,1.8715,1.812,1.931
379,-14.779978,-16.419804,1.8715,1.812,1.931
380,-17.429978,-11.829869,1.8715,1.812,1.931
381,-20.079978,-7.239935,1.8715,1.812,1.931
382,-22.729978,-2.65,1.8715,1.812,1.931
383,11.720022,-53.139281,1.8715,1.812,1.931
384,9.070022,-48.549346,1.8715,1.812,1.931
385,6.420022,-43.959412,1.8715,1.812,1.931
386,3.770022,-39.369477,1.8715,1.812,1.931
387,1.120022,-34.779542,1.8715,1.812,1.931
388,-1.529978,-30.189608,1.8715,1.812,1.931
389,-4.179978,-25.599673,1.8715,1.812,1.931
390,-6.829978,-21.009739,1.8715,1.812,1.931
391,-9.479978,-16.419804,1.8715,1.812,1.931
392,-12.129978,-11.829869,1.8715,1.812,1.931
393,-14.779978,-7.239935,1.8715,1.812,1.931
394,-17.429978,-2.65,1.8715,1.812,1.931
