Edge,Index,Detector wafer bond pad,DCXpos,DCypos,DTGrouptype,DTGroupindex,DTGoupsection,DTPadlabel,DTPadxpos,DTPadypos,DTPixelrow,DTPixelcolumn,DTPixelsection,DTPixelxcenter,DTPixelycenter,DTRawangle,DTActualangle,DTSignaldescription,BiasName,Bias line,SQUID,SQUID_PIN,Mux chip position,x,y
XCR,XCR450,225,17716.16,-55334.25,RowPad,2,C,T11+,17646.158,-57404.248,2,11,C,17020.022,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_24,SQ_24_Ch_53_+,24,17020.022,-53139.281
XCR,XCR500,250,23016.16,-55334.25,RowPad,1,C,T11+,22946.158,-57404.248,1,11,C,22320.022,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_27,SQ_27_Ch_14_+,25,22320.022,-53139.281
XCR,XCR550,275,27936.16,-55334.25,RowPad,0,C,T11+,27866.158,-57404.248,0,11,C,27620.022,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_27,SQ_27_Ch_39_+,25,27620.022,-53139.281
XAR,XAR001,,-32928.95,53633.89,RowPad,11,A,T11-,-34357.886,54458.893,11,11,A,-30679.978,53139.281,157.5,277.5,90ghz,ULNY_B1,2,SQ_03,SQ_03_Ch_0_-,5,-30679.978,53139.281
XAR,XAR051,,-35578.95,49043.96,RowPad,10,A,T11-,-37007.886,49868.958,10,11,A,-33329.978,48549.346,112.5,232.5,90ghz,ULNY_B2,5,SQ_03,SQ_03_Ch_25_-,5,-33329.978,48549.346
XAR,XAR101,,-38228.95,44454.02,RowPad,9,A,T11-,-39657.886,45279.024,9,11,A,-35979.978,43959.412,157.5,277.5,90ghz,ULNY_B1,2,SQ_07,SQ_07_Ch_6_-,7,-35979.978,43959.412
XAR,XAR151,,-40878.95,39864.09,RowPad,8,A,T11-,-42307.886,40689.089,8,11,A,-38629.978,39369.477,112.5,232.5,90ghz,ULNY_B2,5,SQ_07,SQ_07_Ch_31_-,7,-38629.978,39369.477
XAR,XAR201,,-43528.95,35274.15,RowPad,7,A,T11-,-44957.886,36099.154,7,11,A,-41279.978,34779.542,157.5,277.5,90ghz,ULNY_B1,2,SQ_07,SQ_07_Ch_56_-,7,-41279.978,34779.542
XAR,XAR251,,-46178.95,30684.22,RowPad,6,A,T11-,-47607.886,31509.22,6,11,A,-43929.978,30189.608,112.5,232.5,90ghz,ULNY_B2,5,SQ_06,SQ_06_Ch_17_-,6,-43929.978,30189.608
XAR,XAR301,,-48828.95,26094.28,RowPad,5,A,T11-,-50257.886,26919.285,5,11,A,-46579.978,25599.673,157.5,277.5,90ghz,ULNY_B1,2,SQ_06,SQ_06_Ch_42_-,6,-46579.978,25599.673
XAR,XAR351,,-51478.95,21504.35,RowPad,4,A,T11-,-52907.886,22329.35,4,11,A,-49229.978,21009.739,112.5,232.5,90ghz,ULNY_B2,5,SQ_10,SQ_10_Ch_3_-,13,-49229.978,21009.739
